	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Gianfranco_Fini>	<infobox/en/birthdate>	"1952"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/birthdate>	"1"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/birthdate>	"3"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/birthdate>	"1952-01-03"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/birthplace>	<Italy>
	<Gianfranco_Fini>	<infobox/en/birthplace>	"Bologna"
	<Gianfranco_Fini>	<infobox/en/birthplace>	"Italy"
	<Gianfranco_Fini>	<infobox/en/children>	<Giuliana_Fini>
	<Gianfranco_Fini>	<infobox/en/children>	<Carolina_Fini>
	<Gianfranco_Fini>	<infobox/en/children>	"Giuliana Fini"
	<Gianfranco_Fini>	<infobox/en/children>	"Carolina Fini"
	<Gianfranco_Fini>	<infobox/en/constituency>	<Emilia_Romagna>
	<Gianfranco_Fini>	<infobox/en/constituency>	"Emilia Romagna"
	<Gianfranco_Fini>	<infobox/en/dog>	<Roman_Catholic>
	<Gianfranco_Fini>	<infobox/en/dog>	"Roman Catholic"
	<Gianfranco_Fini>	<infobox/en/name>	<Gianfranco_Fini>
	<Gianfranco_Fini>	<infobox/en/name>	"Gianfranco Fini"
	<Gianfranco_Fini>	<infobox/en/nationality>	<Italy>
	<Gianfranco_Fini>	<infobox/en/nationality>	"Italian"
	<Gianfranco_Fini>	<infobox/en/order>	<Italian_Chamber_of_Deputies>
	<Gianfranco_Fini>	<infobox/en/order>	"Member of the Chamber of Deputies"
	<Gianfranco_Fini>	<infobox/en/order>	<Italian_Chamber_of_Deputies>
	<Gianfranco_Fini>	<infobox/en/order>	"President of the Chamber of Deputies"
	<Gianfranco_Fini>	<infobox/en/order>	<Italian_Minister_of_Foreign_Affairs>
	<Gianfranco_Fini>	<infobox/en/order>	"Italian Minister of Foreign Affairs"
	<Gianfranco_Fini>	<infobox/en/order>	<Italian_Prime_Minister>
	<Gianfranco_Fini>	<infobox/en/order>	"Deputy Prime Minister"
	<Gianfranco_Fini>	<infobox/en/party>	"Future and Freedom"
	<Gianfranco_Fini>	<infobox/en/predecessor>	<Fausto_Bertinotti>
	<Gianfranco_Fini>	<infobox/en/predecessor>	"Fausto Bertinotti"
	<Gianfranco_Fini>	<infobox/en/predecessor>	<Franco_Frattini>
	<Gianfranco_Fini>	<infobox/en/predecessor>	"Franco Frattini"
	<Gianfranco_Fini>	<infobox/en/primeminister>	<Silvio_Berlusconi>
	<Gianfranco_Fini>	<infobox/en/primeminister>	"Silvio Berlusconi"
	<Gianfranco_Fini>	<infobox/en/profession>	<wordnet_journalist_110224578>
	<Gianfranco_Fini>	<infobox/en/profession>	<wordnet_politician_110451263>
	<Gianfranco_Fini>	<infobox/en/profession>	<Journalist>
	<Gianfranco_Fini>	<infobox/en/profession>	<Politician>
	<Gianfranco_Fini>	<infobox/en/profession>	"Journalist"
	<Gianfranco_Fini>	<infobox/en/profession>	"Politician"
	<Gianfranco_Fini>	<infobox/en/residence>	<Rome>
	<Gianfranco_Fini>	<infobox/en/residence>	"Rome"
	<Gianfranco_Fini>	<infobox/en/spouse>	"1988"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/spouse>	"2007"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/spouse>	"2008"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/spouse>	"Daniela Di Sotto"
	<Gianfranco_Fini>	<infobox/en/spouse>	"Elisabetta Tulliani"
	<Gianfranco_Fini>	<infobox/en/spouse>	"1988-##-##"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/spouse>	"2007-##-##"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/spouse>	"2008-##-##"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/successor>	<Massimo_D'Alema>
	<Gianfranco_Fini>	<infobox/en/successor>	"Massimo D'Alema"
	<Gianfranco_Fini>	<infobox/en/termend>	"17"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termend>	"2006"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termend>	"2006-05-17"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/termstart>	"30"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"2008"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"2008-04-30"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/termstart>	"12"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"1983"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"1983-07-12"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/termstart>	"11"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"2001"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"2001-06-11"^^xsd:date
	<Gianfranco_Fini>	<infobox/en/termstart>	"18"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"2004"^^xsd:integer
	<Gianfranco_Fini>	<infobox/en/termstart>	"2004-11-18"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/almamater>	<University_of_Naples_Federico_II>
	<Giorgio_Napolitano>	<infobox/en/almamater>	"University of Naples Federico II"
	<Giorgio_Napolitano>	<infobox/en/birthdate>	"1925"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/birthdate>	"6"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/birthdate>	"29"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/birthdate>	"1925-06-29"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/birthplace>	<Naples>
	<Giorgio_Napolitano>	<infobox/en/birthplace>	<Kingdom_of_Italy_(1861–1946)>
	<Giorgio_Napolitano>	<infobox/en/birthplace>	"1861"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/birthplace>	"1946"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/birthplace>	"Naples"
	<Giorgio_Napolitano>	<infobox/en/birthplace>	"Italy"
	<Giorgio_Napolitano>	<infobox/en/birthplace>	"1861-##-##"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/birthplace>	"1946-##-##"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/children>	"Giulio"
	<Giorgio_Napolitano>	<infobox/en/children>	"Giovanni"
	<Giorgio_Napolitano>	<infobox/en/name>	<Giorgio_Napolitano>
	<Giorgio_Napolitano>	<infobox/en/name>	"Giorgio Napolitano"
	<Giorgio_Napolitano>	<infobox/en/office>	<Italian_Chamber_of_Deputies>
	<Giorgio_Napolitano>	<infobox/en/office>	"President of the Chamber of Deputies"
	<Giorgio_Napolitano>	<infobox/en/office>	<Italian_Minister_of_the_Interior>
	<Giorgio_Napolitano>	<infobox/en/office>	"Minister of the Interior"
	<Giorgio_Napolitano>	<infobox/en/office>	<President_of_Italy>
	<Giorgio_Napolitano>	<infobox/en/office>	"11"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/office>	"11th"
	<Giorgio_Napolitano>	<infobox/en/office>	"President of Italy"
	<Giorgio_Napolitano>	<infobox/en/otherparty>	<Italian_Communist_Party>
	<Giorgio_Napolitano>	<infobox/en/otherparty>	"Italian Communist Party"
	<Giorgio_Napolitano>	<infobox/en/party>	<Democrats_of_the_Left>
	<Giorgio_Napolitano>	<infobox/en/party>	"Democrats of the Left"
	<Giorgio_Napolitano>	<infobox/en/predecessor>	<Carlo_Azeglio_Ciampi>
	<Giorgio_Napolitano>	<infobox/en/predecessor>	"Carlo Azeglio Ciampi"
	<Giorgio_Napolitano>	<infobox/en/predecessor>	<Giovanni_Rinaldo_Coronas>
	<Giorgio_Napolitano>	<infobox/en/predecessor>	"Giovanni Rinaldo Coronas"
	<Giorgio_Napolitano>	<infobox/en/predecessor>	<Oscar_Luigi_Scalfaro>
	<Giorgio_Napolitano>	<infobox/en/predecessor>	"Oscar Luigi Scalfaro"
	<Giorgio_Napolitano>	<infobox/en/primeminister>	<Romano_Prodi>
	<Giorgio_Napolitano>	<infobox/en/primeminister>	"Romano Prodi"
	<Giorgio_Napolitano>	<infobox/en/primeminister>	<Silvio_Berlusconi>
	<Giorgio_Napolitano>	<infobox/en/primeminister>	<Romano_Prodi>
	<Giorgio_Napolitano>	<infobox/en/primeminister>	<Mario_Monti>
	<Giorgio_Napolitano>	<infobox/en/primeminister>	"Silvio Berlusconi"
	<Giorgio_Napolitano>	<infobox/en/primeminister>	"Romano Prodi"
	<Giorgio_Napolitano>	<infobox/en/primeminister>	"Mario Monti"
	<Giorgio_Napolitano>	<infobox/en/religion>	<Atheism>
	<Giorgio_Napolitano>	<infobox/en/religion>	"None"
	<Giorgio_Napolitano>	<infobox/en/residence>	<Quirinal_Palace>
	<Giorgio_Napolitano>	<infobox/en/residence>	"Quirinal Palace"
	<Giorgio_Napolitano>	<infobox/en/spouse>	<Clio_Maria_Bittoni>
	<Giorgio_Napolitano>	<infobox/en/spouse>	"Clio Maria Bittoni"
	<Giorgio_Napolitano>	<infobox/en/successor>	<Irene_Pivetti>
	<Giorgio_Napolitano>	<infobox/en/successor>	"Irene Pivetti"
	<Giorgio_Napolitano>	<infobox/en/successor>	<Rosa_Russo_Iervolino>
	<Giorgio_Napolitano>	<infobox/en/successor>	"Rosa Russo Iervolino"
